EXCHANGE DATA,TOTAL DEPTH RATIO,DATE
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30600  26710217  18890609  1341875857
1       OKX  30601  30664563  26833834   296265529
2      GATE  30607  12573345  14809065   223277327
3    KUCOIN  30605  15894359  20387747   138019096
4  COINBASE  30603   1248860   2178477    82924444
5  BITFINEX  30610   5558187   7384725    15207264
6  BITSTAMP  30611    322794    309402      787226
7   BITTREX  30585    569548    232316      369568
8    GEMINI  30684     22334     22258       25684",0.48319092537032327,2023-07-11 19:00:38.050432
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30572  23204759  20498992  1344537720
1       OKX  30573  31747806  36017978   297321087
2      GATE  30579   9855253  11182259   223986817
3    KUCOIN  30572  13881769  22035700   138157941
4  COINBASE  30560   1282279   2246381    82984516
5  BITFINEX  30575   7467493   7075351    15267127
6  BITSTAMP  30612    245991    302919      785092
7   BITTREX  30596    458866    235104      370033
8    GEMINI  30577     22282     22233       25596",0.5205133828595938,2023-07-11 19:03:06.658285
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30572  23204759  20498992  1344537720
1       OKX  30573  31747806  36017978   297321087
2      GATE  30579   9855253  11182259   223986817
3    KUCOIN  30572  13881769  22035700   138157941
4  COINBASE  30560   1282279   2246381    82984516
5  BITFINEX  30575   7467493   7075351    15267127
6  BITSTAMP  30612    245991    302919      785092
7   BITTREX  30596    458866    235104      370033
8    GEMINI  30577     22282     22233       25596",0.5205133828595938,2023-07-11 19:04:03.420858
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30572  23204759  20498992  1344537720
1       OKX  30573  31747806  36017978   297321087
2      GATE  30579   9855253  11182259   223986817
3    KUCOIN  30572  13881769  22035700   138157941
4  COINBASE  30560   1282279   2246381    82984516
5  BITFINEX  30575   7467493   7075351    15267127
6  BITSTAMP  30612    245991    302919      785092
7   BITTREX  30596    458866    235104      370033
8    GEMINI  30577     22282     22233       25596",0.5205133828595938,2023-07-11 19:05:00.735926
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30572  23204759  20498992  1344537720
1       OKX  30573  31747806  36017978   297321087
2      GATE  30579   9855253  11182259   223986817
3    KUCOIN  30572  13881769  22035700   138157941
4  COINBASE  30560   1282279   2246381    82984516
5  BITFINEX  30575   7467493   7075351    15267127
6  BITSTAMP  30612    245991    302919      785092
7   BITTREX  30596    458866    235104      370033
8    GEMINI  30577     22282     22233       25596",0.5205133828595938,2023-07-11 19:05:58.499832
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30572  23204759  20498992  1344537720
1       OKX  30573  31747806  36017978   297321087
2      GATE  30579   9855253  11182259   223986817
3    KUCOIN  30572  13881769  22035700   138157941
4  COINBASE  30560   1282279   2246381    82984516
5  BITFINEX  30575   7467493   7075351    15267127
6  BITSTAMP  30612    245991    302919      785092
7   BITTREX  30596    458866    235104      370033
8    GEMINI  30577     22282     22233       25596",0.5205133828595938,2023-07-11 19:06:55.640763
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30572  23204759  20498992  1344537720
1       OKX  30573  31747806  36017978   297321087
2      GATE  30579   9855253  11182259   223986817
3    KUCOIN  30572  13881769  22035700   138157941
4  COINBASE  30560   1282279   2246381    82984516
5  BITFINEX  30575   7467493   7075351    15267127
6  BITSTAMP  30612    245991    302919      785092
7   BITTREX  30596    458866    235104      370033
8    GEMINI  30577     22282     22233       25596",0.5205133828595938,2023-07-11 19:07:52.529247
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30564  22824395  23454036  1344827670
1       OKX  30564  31759672  36031440   297898502
2      GATE  30577  12171182  13436747   224165001
3    KUCOIN  30576  18362617  18518597   138060783
4  COINBASE  30578   1207067   2321814    79539154
5  BITFINEX  30574   8715813   5926459    15270851
6  BITSTAMP  30578    246040    302979      784169
7   BITTREX  30554    501629    325982      368423
8    GEMINI  30577     22288     22231       25613",0.5015468759914323,2023-07-11 19:08:49.639394
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30564  22824395  23454036  1344827670
1       OKX  30564  31759672  36031440   297898502
2      GATE  30577  12171182  13436747   224165001
3    KUCOIN  30576  18362617  18518597   138060783
4  COINBASE  30578   1207067   2321814    79539154
5  BITFINEX  30574   8715813   5926459    15270851
6  BITSTAMP  30578    246040    302979      784169
7   BITTREX  30554    501629    325982      368423
8    GEMINI  30577     22288     22231       25613",0.5015468759914323,2023-07-11 19:09:46.653407
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30564  22824395  23454036  1344827670
1       OKX  30564  31759672  36031440   297898502
2      GATE  30577  12171182  13436747   224165001
3    KUCOIN  30576  18362617  18518597   138060783
4  COINBASE  30578   1207067   2321814    79539154
5  BITFINEX  30574   8715813   5926459    15270851
6  BITSTAMP  30578    246040    302979      784169
7   BITTREX  30554    501629    325982      368423
8    GEMINI  30577     22288     22231       25613",0.5015468759914323,2023-07-11 19:10:43.540980
